anual;mes;Territorio;Medida;Valor
2013;Agosto;Malaga;Indice de precios hoteleros;94,2
2013;Agosto;Sevilla;Indice de precios hoteleros;82,1
2013;Septiembre;Almeria;Indice de precios hoteleros;86,4
2013;Septiembre;Cadiz;Indice de precios hoteleros;80,1
2013;Septiembre;Cordoba;Indice de precios hoteleros;80,1
2013;Septiembre;Granada;Indice de precios hoteleros;89,8
2013;Septiembre;Huelva;Indice de precios hoteleros;82,9
2013;Septiembre;Jaen;Indice de precios hoteleros;87,5
2013;Septiembre;Malaga;Indice de precios hoteleros;90,6
2013;Septiembre;Sevilla;Indice de precios hoteleros;83,1
2013;Octubre;Almeria;Indice de precios hoteleros;90,0
2013;Octubre;Cadiz;Indice de precios hoteleros;79,3
2013;Octubre;Cordoba;Indice de precios hoteleros;88,0
2013;Octubre;Granada;Indice de precios hoteleros;85,6
2013;Octubre;Huelva;Indice de precios hoteleros;90,6
2013;Octubre;Jaen;Indice de precios hoteleros;88,8
2013;Octubre;Malaga;Indice de precios hoteleros;90,6
2013;Octubre;Sevilla;Indice de precios hoteleros;83,2
2013;Noviembre;Almeria;Indice de precios hoteleros;101,5
2013;Noviembre;Cadiz;Indice de precios hoteleros;81,3
2013;Noviembre;Cordoba;Indice de precios hoteleros;89,3
2013;Noviembre;Granada;Indice de precios hoteleros;84,1
2013;Noviembre;Huelva;Indice de precios hoteleros;97,3
2013;Noviembre;Jaen;Indice de precios hoteleros;89,0
2013;Noviembre;Malaga;Indice de precios hoteleros;94,1
2013;Noviembre;Sevilla;Indice de precios hoteleros;85,0
2013;Diciembre;Almeria;Indice de precios hoteleros;97,4
2013;Diciembre;Cadiz;Indice de precios hoteleros;83,2
2013;Diciembre;Cordoba;Indice de precios hoteleros;93,9
2013;Diciembre;Granada;Indice de precios hoteleros;88,4
