descripcion;establecimiento;categoria;medida;territorio;cantidad
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Jaen;1
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Malaga;5
Campamentos de turismo;area de pernocta de autocaravanas;unica;Establecimientos;Sevilla;0
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Almeria;1332
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Cadiz;300
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Cordoba;0
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Granada;396
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Huelva;252
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Jaen;120
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Malaga;774
Campamentos de turismo;area de pernocta de autocaravanas;unica;Plazas;Sevilla;0
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Almeria;71
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Cadiz;88
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Cordoba;28
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Granada;76
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Huelva;16
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Jaen;50
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Malaga;262
Apartamentos turisticos;Apartamento;1 Llave;Establecimientos;Sevilla;102
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Almeria;4921
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Cadiz;3577
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Cordoba;588
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Granada;2293
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Huelva;557
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Jaen;1169
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Malaga;11173
Apartamentos turisticos;Apartamento;1 Llave;Plazas;Sevilla;2147
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Almeria;57
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Cadiz;95
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Cordoba;36
